type,mass_drivers_online,area_m2,system
infrastructure,21859.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,22564.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,23270.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,23975.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,24680.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,25385.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,26090.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,26796.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,27501.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,28206.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,28911.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,29617.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,30322.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
infrastructure,31027.0,,
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
launch,,400000000.0,mercury_mass_driver
